Occupation,ACEScore,Kmax,ThinkingCreatively
Computer Science Teachers Postsecondary,0,81,73
Computer Systems Analysts,18.8,76,62
Computer Systems Engineers/Architects,0,0,0
Computer User Support Specialists,0,82,43
Computer Automated Teller and Office Machine Repairers,0,81,52
Computer-Controlled Machine Tool Operators Metal and Plastic,0,60,36
Concierges,0,0,0
Construction and Building Inspectors,0,0,0
Construction Carpenters,0,75,23
Construction Laborers,0,49,29
Construction Managers,0,0,0
Continuous Mining Machine Operators,0,65,14
Control and Valve Installers and Repairers Except Mechanical Door,0,45,20
Conveyor Operators and Tenders,0,60,23
Cooks Fast Food,0,32,15
Cooks Institution and Cafeteria,0,45,23
Cooks Private Household,12.5,0,0
Cooks Restaurant,18.8,33,20
Cooks Short Order,0,40,15
Cooling and Freezing Equipment Operators and Tenders,0,55,37
Copy Writers,100,69,70
Coroners,0,0,0
Correctional Officers and Jailers,0,69,26
Correspondence Clerks,0,70,20
Cost Estimators,0,0,0
Costume Attendants,18.8,56,20
Counseling Psychologists,0,99,50
Counter and Rental Clerks,0,42,15
Counter Attendants Cafeteria Food Concession and Coffee Shop,0,43,10
Couriers and Messengers,0,29,17
Court Clerks,0,69,16
Court Reporters,0,73,11
Craft Artists,100,0,0
Crane and Tower Operators,0,52,11
Credit Analysts,0,0,0
Credit Authorizers,0,58,15
Credit Checkers,0,54,15
Credit Counselors,0,0,0
Criminal Investigators and Special Agents,0,69,46
Criminal Justice and Law Enforcement Teachers Postsecondary,0,70,60
Critical Care Nurses,0,0,0
Crossing Guards,0,25,17
Crushing Grinding and Polishing Machine Setters Operators and Tenders,0,50,38
Curators,93.8,68,78
Customer Service Representatives,0,67,31
Customs Brokers,0,0,0
Cutters and Trimmers Hand,0,30,8
Cutting and Slicing Machine Setters Operators and Tenders,0,33,17
Cutting Punching and Press Machine Setters Operators and Tenders Metal and Plastic,0,32,12
Cytogenetic Technologists,0,0,0
Cytotechnologists,0,0,0
Dancers,87.5,67,55
Data Entry Keyers,0,70,22
Database Administrators,0,74,49
Demonstrators and Product Promoters,0,41,26
Dental Assistants,0,55,31
Dental Hygienists,0,65,25
Dental Laboratory Technicians,0,60,42
Dentists General,12.5,81,47
Dermatologists,0,86,24
Derrick Operators Oil and Gas,0,47,19
Desktop Publishers,18.8,59,53
Diagnostic Medical Sonographers,0,73,28
Dietetic Technicians,0,30,31
Dietitians and Nutritionists,0,0,0
Dining Room and Cafeteria Attendants and Bartender Helpers,0,33,24
Directors- Stage Motion Pictures Television and Radio,100,75,58
Directors Religious Activities and Education,18.8,63,52
Dishwashers,0,16,18
Dispatchers Except Police Fire and Ambulance,0,62,37
Distance Learning Coordinators,0,0,0
Document Management Specialists,0,0,0
Door-To-Door Sales Workers News and Street Vendors and Related Workers,0,0,0
Dredge Operators,0,58,14
Drilling and Boring Machine Tool Setters Operators and Tenders Metal and Plastic,0,47,32
Driver/Sales Workers,0,36,17
Drywall and Ceiling Tile Installers,0,80,31
Earth Drillers Except Oil and Gas,0,52,52
Economics Teachers Postsecondary,0,79,52
Economists,12.5,0,0
Editors,93.8,76,62
Education Administrators Elementary and Secondary School,12.5,85,55
Education Administrators Postsecondary,0,67,57
Education Administrators Preschool and Childcare Center/Program,0,68,33
Education Teachers Postsecondary,0,92,71
Educational Guidance School and Vocational Counselors,0,83,53
Electric Motor Power Tool and Related Repairers,0,63,22
Electrical and Electronic Equipment Assemblers,0,25,18
Electrical and Electronics Installers and Repairers Transportation Equipment,0,44,31
Electrical and Electronics Repairers Commercial and Industrial Equipment,0,64,41
Electrical and Electronics Repairers Powerhouse Substation and Relay,0,62,37
Electrical Drafters,0,67,25
Electrical Engineering Technicians,0,56,47
Electrical Engineering Technologists,0,80,61
Electrical Engineers,12.5,84,59
Electrical Power-Line Installers and Repairers,0,44,40
Electricians,0,68,35
Electromechanical Engineering Technologists,0,61,45
Electromechanical Equipment Assemblers,0,46,19
Electro-Mechanical Technicians,0,57,13
Electronic Drafters,0,62,32
Electronic Equipment Installers and Repairers Motor Vehicles,12.5,64,57
Electronic Home Entertainment Equipment Installers and Repairers,12.5,53,34
Electronics Engineering Technicians,0,61,36
Electronics Engineering Technologists,0,0,0
Electronics Engineers Except Computer,12.5,85,67
Elementary School Teachers Except Special Education,12.5,59,62
Elevator Installers and Repairers,0,79,42
Eligibility Interviewers Government Programs,0,72,0
Embalmers,0,79,33
Emergency Management Directors,0,0,0
Emergency Medical Technicians and Paramedics,0,81,36
Endoscopy Technicians,0,0,0
Energy Auditors,0,0,0
Energy Brokers,0,58,31
Energy Engineers,0,0,0
Engine and Other Machine Assemblers,0,53,28
Engineering Teachers Postsecondary,0,80,71
English Language and Literature Teachers Postsecondary,25,89,74
Environmental Compliance Inspectors,0,0,0
Environmental Economists,0,0,0
Environmental Engineering Technicians,0,47,25
Environmental Engineers,12.5,0,0
Environmental Restoration Planners,0,0,0
Environmental Science and Protection Technicians Including Health,0,48,37
Environmental Science Teachers Postsecondary,0,89,68
Environmental Scientists and Specialists Including Health,0,58,30
Epidemiologists,12.5,0,0
Equal Opportunity Representatives and Officers,0,55,25
Etchers and Engravers,12.5,51,32
Excavating and Loading Machine and Dragline Operators,0,35,35
Executive Secretaries and Executive Administrative Assistants,0,81,33
Exercise Physiologists,0,0,0
Explosives Workers Ordnance Handling Experts and Blasters,0,0,0
Extruding and Drawing Machine Setters Operators and Tenders Metal and Plastic,0,47,18
Extruding and Forming Machine Setters Operators and Tenders Synthetic and Glass Fibers,0,42,13
Extruding Forming Pressing and Compacting Machine Setters Operators and Tenders,0,35,28
Fabric and Apparel Patternmakers,31.3,44,63
Fabric Menders Except Garment,0,47,15
Fallers,0,29,4
Family and General Practitioners,0,90,33
Farm and Home Management Advisors,0,0,0
Farm and Ranch Managers,0,64,47
Farm Equipment Mechanics and Service Technicians,0,73,38
Farm Labor Contractors,0,44,0
Farmworkers and Laborers Crop,0,18,0
Farmworkers Farm Ranch and Aquacultural Animals,0,27,32
Fashion Designers,100,40,88
Fence Erectors,0,29,25
Fiberglass Laminators and Fabricators,0,32,41
File Clerks,0,55,23
Film and Video Editors,87.5,64,57
Financial Analysts,12.5,72,57
Financial Examiners,18.8,0,0
Financial Managers Branch or Department,0,52,46
Fine Artists Including Painters Sculptors and Illustrators,100,82,86
Fire Inspectors,0,66,27
Fire Investigators,0,72,32
Fire-Prevention and Protection Engineers,0,0,0
First-Line Supervisors of Agricultural Crop and Horticultural Workers,0,59,26
First-Line Supervisors of Animal Husbandry and Animal Care Workers,0,39,39
First-Line Supervisors of Aquacultural Workers,0,64,42
First-Line Supervisors of Construction Trades and Extraction Workers,0,53,37
First-Line Supervisors of Correctional Officers,0,60,42
First-Line Supervisors of Food Preparation and Serving Workers,0,45,17
First-Line Supervisors of Helpers Laborers and Material Movers Hand,0,48,34
First-Line Supervisors of Housekeeping and Janitorial Workers,0,56,18
First-Line Supervisors of Landscaping Lawn Service and Groundskeeping Workers,0,44,35
First-Line Supervisors of Logging Workers,0,51,29
First-Line Supervisors of Mechanics Installers and Repairers,0,66,34
First-Line Supervisors of Non-Retail Sales Workers,0,54,57
First-Line Supervisors of Office and Administrative Support Workers,0,60,40
First-Line Supervisors of Personal Service Workers,0,63,53
First-Line Supervisors of Police and Detectives,0,74,43
First-Line Supervisors of Production and Operating Workers,0,56,26
First-Line Supervisors of Retail Sales Workers,0,69,28
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0,66,41
Fish and Game Wardens,0,70,54
Fishers and Related Fishing Workers,0,45,16
Fitness Trainers and Aerobics Instructors,12.5,0,0
